g,receiver,arm,object_index,target,field_kind,context_scope,context_name,context_revision
5526,toolv2x_receiver_v1,alternating,0,20,forecast,provider_full_at_t,fixed_ego_at_t,11x100ms_v1
5526,toolv2x_receiver_v1,alternating,1,20,forecast,receiver_acquired_subset,receiver_fixed_ego_at_t,11x100ms_v1.subset.0.4.6.20
5526,toolv2x_receiver_v1,one_shot,0,20,forecast,provider_full_at_t,fixed_ego_at_t,11x100ms_v1
5526,toolv2x_receiver_v1,one_shot,1,20,forecast,receiver_acquired_subset,receiver_fixed_ego_at_t,11x100ms_v1.subset.0.4.6.20
5526,toolv2x_receiver_v2,alternating,0,20,forecast,provider_full_at_t,fixed_ego_at_t,11x100ms_v1
5526,toolv2x_receiver_v2,alternating,1,6,forecast,receiver_acquired_subset,receiver_fixed_ego_at_t,11x100ms_v1.subset.0.4.6.20
5526,toolv2x_receiver_v2,one_shot,0,20,forecast,provider_full_at_t,fixed_ego_at_t,11x100ms_v1
5526,toolv2x_receiver_v2,one_shot,1,6,forecast,provider_full_at_t,fixed_ego_at_t,11x100ms_v1
7007,toolv2x_receiver_v1,alternating,0,0,forecast,provider_full_at_t,fixed_ego_at_t,11x100ms_v1
7007,toolv2x_receiver_v1,alternating,1,0,forecast,receiver_acquired_subset,receiver_fixed_ego_at_t,11x100ms_v1.subset.0.5.11.21
7007,toolv2x_receiver_v1,one_shot,0,0,forecast,provider_full_at_t,fixed_ego_at_t,11x100ms_v1
7007,toolv2x_receiver_v1,one_shot,1,0,forecast,receiver_acquired_subset,receiver_fixed_ego_at_t,11x100ms_v1.subset.0.5.11.21
7007,toolv2x_receiver_v2,alternating,0,0,forecast,provider_full_at_t,fixed_ego_at_t,11x100ms_v1
7007,toolv2x_receiver_v2,alternating,1,5,forecast,provider_full_at_t,fixed_ego_at_t,11x100ms_v1
7007,toolv2x_receiver_v2,one_shot,0,0,forecast,provider_full_at_t,fixed_ego_at_t,11x100ms_v1
7007,toolv2x_receiver_v2,one_shot,1,5,forecast,provider_full_at_t,fixed_ego_at_t,11x100ms_v1
