g,receiver,arm,primitive_order,tool,mode,ranked_handles,returned_handles,returned_field_refs,request_bytes,response_bytes,model_targets_computed,fallback_targets_computed,actual_provider_response
5526,toolv2x_receiver_v1,alternating,0,P,current,20 0 4 6,0 4 6 20,8,672,12757,0,0,True
5526,toolv2x_receiver_v1,alternating,1,F,change,6 20 3 8,3 6 8 20,6,3450,14204,27,3,True
5526,toolv2x_receiver_v1,one_shot,0,P,current,20 0 4 6,0 4 6 20,8,672,12757,0,0,True
5526,toolv2x_receiver_v1,one_shot,1,F,current,3 6 20 4,3 4 6 20,5,3409,13979,27,3,True
5526,toolv2x_receiver_v2,alternating,0,P,current,20 0 4 6,0 4 6 20,8,672,12757,0,0,True
5526,toolv2x_receiver_v2,alternating,1,F,change,0 3 20 4,0 3 4 20,5,3450,14039,27,3,True
5526,toolv2x_receiver_v2,one_shot,0,P,current,20 0 4 6,0 4 6 20,8,672,12757,0,0,True
5526,toolv2x_receiver_v2,one_shot,1,F,current,3 6 20 4,3 4 6 20,5,3409,13979,27,3,True
7007,toolv2x_receiver_v1,alternating,0,P,current,0 5 11 21,0 5 11 21,8,673,12824,0,0,True
7007,toolv2x_receiver_v1,alternating,1,F,change,0 21 5 11,0 5 11 21,4,3461,13961,19,0,True
7007,toolv2x_receiver_v1,one_shot,0,P,current,0 5 11 21,0 5 11 21,8,673,12824,0,0,True
7007,toolv2x_receiver_v1,one_shot,1,F,current,0 5 2 21,0 2 5 21,5,3420,13995,19,0,True
7007,toolv2x_receiver_v2,alternating,0,P,current,0 5 11 21,0 5 11 21,8,673,12824,0,0,True
7007,toolv2x_receiver_v2,alternating,1,F,change,5 29 2 0,0 2 5 29,6,3461,14209,19,0,True
7007,toolv2x_receiver_v2,one_shot,0,P,current,0 5 11 21,0 5 11 21,8,673,12824,0,0,True
7007,toolv2x_receiver_v2,one_shot,1,F,current,0 5 2 21,0 2 5 21,5,3420,13995,19,0,True
