g,receiver,arm,saved_task_status,episode_status,task_success,artifact_status,ADE3,FDE3,driver_calls,rpc_rounds,calls,request_bytes,response_bytes,input_tokens,output_tokens,total_compute_seconds,generation_seconds,local_model_seconds,peer_model_seconds,receiver_model_seconds,control_seconds,cost_complete,acquired_fields,derived_fields,admitted_remote_fields,remote_units_retained,remote_units_total,failure
5526,toolv2x_receiver_v1,Ego,completed,completed,True,completed,0.9489685967313876,1.8540588472892214,1,0,0,0,0,2292,63,2.019146275240928,1.7206690460443497,0.1257164201233536,0,0,0.010857587913051248,True,0,0,0,0,0,
5526,toolv2x_receiver_v1,alternating,completed,completed,True,completed,0.7007877788304865,1.2920158352302045,3,2,2,4122,26961,9566,189,6.722432435955852,5.773947850801051,0.023848270997405052,0.029801709111779928,0.021606134017929435,0.05763845588080585,True,14,4,3,2,12,
5526,toolv2x_receiver_v1,one_shot,completed,completed,True,completed,0.7007877788304865,1.2920158352302045,2,1,2,3030,27476,5865,126,4.424521591514349,3.7203250699676573,0.02833586698397994,0.0281420371029526,0.018727872986346483,0.02908528270199895,True,13,4,3,2,12,
5526,toolv2x_receiver_v2,Ego,completed,completed,True,completed,0.9489685967313876,1.8540588472892214,1,0,0,0,0,2292,63,1.9005005869548768,1.6921498898882419,0.02402632194571197,0,0,0.011004858883097768,True,0,0,0,0,0,
5526,toolv2x_receiver_v2,alternating,completed,completed,True,completed,0.9368814307691818,1.7781203438204856,3,2,2,4122,26796,9324,189,6.7812315742485225,5.742281588958576,0.023693565977737308,0.02622463903389871,0.019826472969725728,0.04557836824096739,True,13,4,4,2,12,
5526,toolv2x_receiver_v2,one_shot,completed,completed,True,completed,0.8490001759281526,1.643313807943281,2,1,2,3030,27477,5764,126,4.373102613259107,3.708512364886701,0.025093015981838107,0.025427188025787473,0.018808907130733132,0.0277235871180892,True,13,4,4,2,12,
7007,toolv2x_receiver_v1,Ego,completed,completed,True,completed,0.4105095002958932,1.1894324961783027,1,0,0,0,0,2300,63,1.89340243418701,1.6987378699705005,0.025872797006741166,0,0,0.009889028035104275,True,0,0,0,0,0,
7007,toolv2x_receiver_v1,alternating,completed,completed,True,completed,1.6233446796144335,4.309532708947579,3,2,2,4134,26785,9574,189,6.700890572974458,5.7882137428969145,0.02401921502314508,0.023630543146282434,0.02360518812201917,0.04195250733755529,True,12,4,3,2,12,
7007,toolv2x_receiver_v1,one_shot,completed,completed,True,completed,1.6233446796144335,4.309532708947579,2,1,2,3059,27561,5872,126,4.370619976427406,3.732567746890709,0.023465390084311366,0.024231485091149807,0.018878460163250566,0.026252493960782886,True,13,4,3,2,12,
7007,toolv2x_receiver_v2,Ego,completed,completed,True,completed,0.4105095002958932,1.1894324961783027,1,0,0,0,0,2300,63,1.8891289124730974,1.6929578259587288,0.023573562037199736,0,0,0.009966961108148098,True,0,0,0,0,0,
7007,toolv2x_receiver_v2,alternating,completed,completed,True,completed,1.3981792931139163,2.019000178161735,3,2,2,4134,27033,9276,189,6.595699832541868,5.714449088089168,0.023021072149276733,0.022996548796072602,0.019180059898644686,0.04248293675482273,True,14,4,4,2,12,
7007,toolv2x_receiver_v2,one_shot,completed,completed,True,completed,1.3981792931139163,2.019000178161735,2,1,2,3059,27560,5780,126,4.341600023442879,3.7075638519600034,0.024620783049613237,0.02278410387225449,0.018599817994982004,0.02626938815228641,True,13,4,4,2,12,
