g,receiver,arm,stage,ADE3,FDE3,parse_valid,admissible,record_consistent,trajectory_changed,input_tokens,remote_units_retained,remote_units_total,acquired_fields,derived_fields
5526,toolv2x_receiver_v1,Ego,0,0.9489685967313876,1.8540588472892214,True,True,True,,2292,0,0,0,0
5526,toolv2x_receiver_v1,alternating,0,0.9489685967313876,1.8540588472892214,True,True,True,,2292,0,0,0,0
5526,toolv2x_receiver_v1,alternating,1,0.8525567943595219,1.643313807943281,True,True,True,True,3701,2,8,8,4
5526,toolv2x_receiver_v1,alternating,2,0.7007877788304865,1.2920158352302045,True,True,True,True,3573,2,12,14,4
5526,toolv2x_receiver_v1,one_shot,0,0.9489685967313876,1.8540588472892214,True,True,True,,2292,0,0,0,0
5526,toolv2x_receiver_v1,one_shot,1,0.7007877788304865,1.2920158352302045,True,True,True,True,3573,2,12,13,4
5526,toolv2x_receiver_v2,Ego,0,0.9489685967313876,1.8540588472892214,True,True,True,,2292,0,0,0,0
5526,toolv2x_receiver_v2,alternating,0,0.9489685967313876,1.8540588472892214,True,True,True,,2292,0,0,0,0
5526,toolv2x_receiver_v2,alternating,1,0.9003516499874347,1.8460625741525043,True,True,True,True,3477,2,8,8,4
5526,toolv2x_receiver_v2,alternating,2,0.9368814307691818,1.7781203438204856,True,True,True,True,3555,2,12,13,4
5526,toolv2x_receiver_v2,one_shot,0,0.9489685967313876,1.8540588472892214,True,True,True,,2292,0,0,0,0
5526,toolv2x_receiver_v2,one_shot,1,0.8490001759281526,1.643313807943281,True,True,True,True,3472,2,12,13,4
7007,toolv2x_receiver_v1,Ego,0,0.4105095002958932,1.1894324961783027,True,True,True,,2300,0,0,0,0
7007,toolv2x_receiver_v1,alternating,0,0.4105095002958932,1.1894324961783027,True,True,True,,2300,0,0,0,0
7007,toolv2x_receiver_v1,alternating,1,1.6233446796144335,4.309532708947579,True,True,True,True,3702,2,8,8,4
7007,toolv2x_receiver_v1,alternating,2,1.6233446796144335,4.309532708947579,True,True,True,False,3572,2,12,12,4
7007,toolv2x_receiver_v1,one_shot,0,0.4105095002958932,1.1894324961783027,True,True,True,,2300,0,0,0,0
7007,toolv2x_receiver_v1,one_shot,1,1.6233446796144335,4.309532708947579,True,True,True,True,3572,2,12,13,4
7007,toolv2x_receiver_v2,Ego,0,0.4105095002958932,1.1894324961783027,True,True,True,,2300,0,0,0,0
7007,toolv2x_receiver_v2,alternating,0,0.4105095002958932,1.1894324961783027,True,True,True,,2300,0,0,0,0
7007,toolv2x_receiver_v2,alternating,1,1.4477292676620657,2.2182509488580777,True,True,True,True,3496,2,8,8,4
7007,toolv2x_receiver_v2,alternating,2,1.3981792931139163,2.019000178161735,True,True,True,True,3480,2,12,14,4
7007,toolv2x_receiver_v2,one_shot,0,0.4105095002958932,1.1894324961783027,True,True,True,,2300,0,0,0,0
7007,toolv2x_receiver_v2,one_shot,1,1.3981792931139163,2.019000178161735,True,True,True,True,3480,2,12,13,4
