task,frame,arm,plan_index,plan_stage,provider,track_handle,field_kind,field_group,acquisition_origin,context_scope,reason,ref
g5526_Ego,5526,Ego,0,0,no_fusion,28,anchor,anchor,local,,context_budget,"{""context_version"":{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""},""field_kind"":""anchor"",""g"":5526,""producer_version"":{""name"":""toolv2x_causal_tracker"",""revision"":""causal_windows_v1""},""provider"":""no_fusion"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":28}"
g5526_Ego,5526,Ego,0,0,no_fusion,28,forecast,forecast,local,ego_full_at_t,context_budget,"{""context_version"":{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""},""field_kind"":""forecast"",""g"":5526,""producer_version"":{""name"":""CMP_MTR_full_seed20"",""revision"":""epoch09""},""provider"":""no_fusion"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":28}"
g5526_Ego,5526,Ego,0,0,no_fusion,24,anchor,anchor,local,,context_budget,"{""context_version"":{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""},""field_kind"":""anchor"",""g"":5526,""producer_version"":{""name"":""toolv2x_causal_tracker"",""revision"":""causal_windows_v1""},""provider"":""no_fusion"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":24}"
g5526_Ego,5526,Ego,0,0,no_fusion,24,forecast,forecast,local,ego_full_at_t,context_budget,"{""context_version"":{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""},""field_kind"":""forecast"",""g"":5526,""producer_version"":{""name"":""CMP_MTR_full_seed20"",""revision"":""epoch09""},""provider"":""no_fusion"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":24}"
g5526_Ego,5526,Ego,0,0,no_fusion,23,anchor,anchor,local,,context_budget,"{""context_version"":{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""},""field_kind"":""anchor"",""g"":5526,""producer_version"":{""name"":""toolv2x_causal_tracker"",""revision"":""causal_windows_v1""},""provider"":""no_fusion"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":23}"
g5526_Ego,5526,Ego,0,0,no_fusion,23,forecast,forecast,local,ego_full_at_t,context_budget,"{""context_version"":{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""},""field_kind"":""forecast"",""g"":5526,""producer_version"":{""name"":""CMP_MTR_full_seed20"",""revision"":""epoch09""},""provider"":""no_fusion"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":23}"
g5526_Ego,5526,Ego,0,0,no_fusion,18,anchor,anchor,local,,context_budget,"{""context_version"":{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""},""field_kind"":""anchor"",""g"":5526,""producer_version"":{""name"":""toolv2x_causal_tracker"",""revision"":""causal_windows_v1""},""provider"":""no_fusion"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":18}"
g5526_Ego,5526,Ego,0,0,no_fusion,18,forecast,forecast,local,ego_full_at_t,context_budget,"{""context_version"":{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""},""field_kind"":""forecast"",""g"":5526,""producer_version"":{""name"":""CMP_MTR_full_seed20"",""revision"":""epoch09""},""provider"":""no_fusion"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":18}"
g5526_Ego,5526,Ego,0,0,no_fusion,17,anchor,anchor,local,,context_budget,"{""context_version"":{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""},""field_kind"":""anchor"",""g"":5526,""producer_version"":{""name"":""toolv2x_causal_tracker"",""revision"":""causal_windows_v1""},""provider"":""no_fusion"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":17}"
g5526_Ego,5526,Ego,0,0,no_fusion,17,forecast,forecast,local,ego_full_at_t,context_budget,"{""context_version"":{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""},""field_kind"":""forecast"",""g"":5526,""producer_version"":{""name"":""CMP_MTR_full_seed20"",""revision"":""epoch09""},""provider"":""no_fusion"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":17}"
g5526_Ego,5526,Ego,0,0,no_fusion,16,anchor,anchor,local,,context_budget,"{""context_version"":{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""},""field_kind"":""anchor"",""g"":5526,""producer_version"":{""name"":""toolv2x_causal_tracker"",""revision"":""causal_windows_v1""},""provider"":""no_fusion"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":16}"
g5526_Ego,5526,Ego,0,0,no_fusion,16,forecast,forecast,local,ego_full_at_t,context_budget,"{""context_version"":{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""},""field_kind"":""forecast"",""g"":5526,""producer_version"":{""name"":""CMP_MTR_full_seed20"",""revision"":""epoch09""},""provider"":""no_fusion"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":16}"
g5526_Ego,5526,Ego,0,0,no_fusion,12,anchor,anchor,local,,context_budget,"{""context_version"":{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""},""field_kind"":""anchor"",""g"":5526,""producer_version"":{""name"":""toolv2x_causal_tracker"",""revision"":""causal_windows_v1""},""provider"":""no_fusion"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":12}"
