task,frame,arm,plan_index,plan_stage,field_group,unit_count,standalone_increment_min,standalone_increment_max,standalone_increments
g5526_alternating,5526,alternating,1,1,history,4,777,794,"[794,777,777,791]"
g5526_alternating,5526,alternating,1,1,receiver_subset_forecast,4,714,737,"[734,714,722,737]"
g5526_alternating,5526,alternating,2,2,history,4,777,794,"[794,777,777,791]"
g5526_alternating,5526,alternating,2,2,provider_full_forecast,4,705,743,"[724,705,725,743]"
g5526_alternating,5526,alternating,2,2,receiver_subset_forecast,4,714,737,"[734,714,722,737]"
g5526_one_shot,5526,one_shot,1,1,history,4,777,794,"[794,777,777,791]"
g5526_one_shot,5526,one_shot,1,1,provider_full_forecast,4,705,725,"[724,705,707,725]"
g5526_one_shot,5526,one_shot,1,1,receiver_subset_forecast,4,714,737,"[734,714,722,737]"
g7007_alternating,7007,alternating,1,1,history,4,789,805,"[789,799,805,791]"
g7007_alternating,7007,alternating,1,1,receiver_subset_forecast,4,726,746,"[733,726,732,746]"
g7007_alternating,7007,alternating,2,2,history,4,789,805,"[789,799,805,791]"
g7007_alternating,7007,alternating,2,2,provider_full_forecast,4,711,726,"[717,711,723,726]"
g7007_alternating,7007,alternating,2,2,receiver_subset_forecast,4,726,746,"[733,726,732,746]"
g7007_one_shot,7007,one_shot,1,1,history,4,789,805,"[789,799,805,791]"
g7007_one_shot,7007,one_shot,1,1,provider_full_forecast,4,711,727,"[717,711,727,726]"
g7007_one_shot,7007,one_shot,1,1,receiver_subset_forecast,4,726,746,"[733,726,732,746]"
